basket_file,basket,year,pnl,max_dd,worst_1d,worst_5d,worst_20d,ttr_median,ttr_p90,ttr_max,n_days
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_RATIO_daily.parquet,basket_TOP10_BY_POST_RATIO,2023,1393.5938781060981,-197.35064844000001,-55.75663952,-124.22162228000003,-181.57702334000004,8.0,43.80000000000001,62.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_RATIO_daily.parquet,basket_TOP10_BY_POST_RATIO,2024,372.54796997000005,-348.55270158999997,-66.0,-142.99693594999997,-276.99090444,31.0,94.30000000000001,118.0,365
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_RATIO_daily.parquet,basket_TOP10_BY_POST_RATIO,2025,767.44355486,-279.00347322,-61.24126512,-120.82504156999998,-244.8033592,8.0,49.0,63.0,227
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_PNL_daily.parquet,basket_TOP15_BY_POST_PNL,2018,424.69473983533004,-342.68521803168284,-84.5,-123.5325712529681,-192.31515077056574,32.0,149.60000000000002,183.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_PNL_daily.parquet,basket_TOP15_BY_POST_PNL,2019,613.9394047129886,-278.3175191301544,-84.5,-193.57880334696503,-230.93097666634733,22.5,66.10000000000002,93.0,364
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_PNL_daily.parquet,basket_TOP15_BY_POST_PNL,2020,1235.2547174545177,-229.5875072734384,-78.33375740227893,-137.93361910646283,-178.94821837980066,9.0,25.0,39.0,296
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_PNL_daily.parquet,basket_TOP15_BY_POST_PNL,2021,267.7974981687405,-848.6471014454837,-83.87578065232213,-231.03768746092703,-353.78816589808173,6.0,18.0,25.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_PNL_daily.parquet,basket_TOP15_BY_POST_PNL,2022,984.7538209578263,-554.8506397376502,-112.39051123878644,-222.32239548308502,-372.13016119793036,35.0,145.60000000000002,178.0,358
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_PNL_daily.parquet,basket_TOP15_BY_POST_PNL,2023,962.4531351220372,-456.8388229300001,-84.12562789,-164.85315117999994,-248.37954453000003,23.0,95.0,124.0,364
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_PNL_daily.parquet,basket_TOP15_BY_POST_PNL,2024,750.1004541099999,-369.01388864000006,-74.76498168,-168.06183877999996,-266.00697235,13.0,86.80000000000001,112.0,365
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_PNL_daily.parquet,basket_TOP15_BY_POST_PNL,2025,757.01967629,-470.8132357300001,-75.5,-179.41984538,-355.35207115000003,8.0,52.400000000000006,66.0,227
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_RATIO_daily.parquet,basket_TOP15_BY_POST_RATIO,2018,424.69473983533004,-342.68521803168284,-84.5,-123.5325712529681,-192.31515077056574,32.0,149.60000000000002,183.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_RATIO_daily.parquet,basket_TOP15_BY_POST_RATIO,2019,613.9394047129886,-278.3175191301544,-84.5,-193.57880334696503,-230.93097666634733,22.5,66.10000000000002,93.0,364
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_RATIO_daily.parquet,basket_TOP15_BY_POST_RATIO,2020,1235.2547174545177,-229.5875072734384,-78.33375740227893,-137.93361910646283,-178.94821837980066,9.0,25.0,39.0,296
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_RATIO_daily.parquet,basket_TOP15_BY_POST_RATIO,2021,267.7974981687405,-848.6471014454837,-83.87578065232213,-231.03768746092703,-353.78816589808173,6.0,18.0,25.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_RATIO_daily.parquet,basket_TOP15_BY_POST_RATIO,2022,984.7538209578263,-554.8506397376502,-112.39051123878644,-222.32239548308502,-372.13016119793036,35.0,145.60000000000002,178.0,358
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_RATIO_daily.parquet,basket_TOP15_BY_POST_RATIO,2023,962.4531351220372,-456.8388229300001,-84.12562789,-164.85315117999994,-248.37954453000003,23.0,95.0,124.0,364
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_RATIO_daily.parquet,basket_TOP15_BY_POST_RATIO,2024,750.1004541099999,-369.01388864000006,-74.76498168,-168.06183877999996,-266.00697235,13.0,86.80000000000001,112.0,365
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_RATIO_daily.parquet,basket_TOP15_BY_POST_RATIO,2025,757.01967629,-470.8132357300001,-75.5,-179.41984538,-355.35207115000003,8.0,52.400000000000006,66.0,227
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_PNL_daily.parquet,basket_TOP3_BY_POST_PNL,2018,141.1119047097934,-161.18360366621175,-32.0,-69.0,-110.05997280914154,65.5,153.9,176.0,251
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_PNL_daily.parquet,basket_TOP3_BY_POST_PNL,2019,728.8931446342299,-149.062587437859,-30.0,-68.47291727179957,-122.95991400785896,6.0,37.0,53.0,255
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_PNL_daily.parquet,basket_TOP3_BY_POST_PNL,2020,-147.15121614800495,-306.44372735075575,-37.0,-84.8310850927414,-153.88878877974196,,,,211
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_PNL_daily.parquet,basket_TOP3_BY_POST_PNL,2021,452.0190827635313,-230.28040193001058,-48.5,-96.19941767417474,-152.63109872938628,18.0,73.20000000000002,98.0,332
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_PNL_daily.parquet,basket_TOP3_BY_POST_PNL,2022,741.7214500150144,-203.4379219082847,-61.0,-117.34049732389161,-169.1654244636752,23.5,92.5,122.0,351
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_PNL_daily.parquet,basket_TOP3_BY_POST_PNL,2023,783.0529247946145,-188.15201681,-38.47047667,-74.7260462,-155.92822354999998,9.0,36.0,53.0,362
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_PNL_daily.parquet,basket_TOP3_BY_POST_PNL,2024,377.42955382,-180.89228747000013,-36.0,-94.75737193999998,-136.62899043000002,17.0,67.0,81.0,358
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_PNL_daily.parquet,basket_TOP3_BY_POST_PNL,2025,678.85591957,-153.07936207000012,-45.0,-84.58158385,-131.1210637,5.5,42.5,56.0,225
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_RATIO_daily.parquet,basket_TOP3_BY_POST_RATIO,2018,141.1119047097934,-161.18360366621175,-32.0,-69.0,-110.05997280914154,65.5,153.9,176.0,251
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_RATIO_daily.parquet,basket_TOP3_BY_POST_RATIO,2019,728.8931446342299,-149.062587437859,-30.0,-68.47291727179957,-122.95991400785896,6.0,37.0,53.0,255
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_RATIO_daily.parquet,basket_TOP3_BY_POST_RATIO,2020,-147.15121614800495,-306.44372735075575,-37.0,-84.8310850927414,-153.88878877974196,,,,211
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_RATIO_daily.parquet,basket_TOP3_BY_POST_RATIO,2021,452.0190827635313,-230.28040193001058,-48.5,-96.19941767417474,-152.63109872938628,18.0,73.20000000000002,98.0,332
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_RATIO_daily.parquet,basket_TOP3_BY_POST_RATIO,2022,741.7214500150144,-203.4379219082847,-61.0,-117.34049732389161,-169.1654244636752,23.5,92.5,122.0,351
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_RATIO_daily.parquet,basket_TOP3_BY_POST_RATIO,2023,783.0529247946145,-188.15201681,-38.47047667,-74.7260462,-155.92822354999998,9.0,36.0,53.0,362
