start_idx,trough_idx,recovery_idx,peak_equity,dd_amount,dd_pct,duration_days
4,23,43.0,1.7357155185025914,-5.341248764929993,-3.0772604773032795,39
44,45,47.0,2.609779657747298,-0.5876675172848289,-0.22517897843992318,3
48,49,51.0,3.276478313708553,-1.0,-0.30520574356194297,3
51,52,53.0,3.5732419230537977,-0.5862167333469896,-0.16405738709289283,2
53,61,77.0,3.877514642980039,-5.389822950733741,-1.3900200120434432,24
78,80,87.0,4.424044670027798,-2.0,-0.4520750013103808,9
87,88,90.0,5.064939455491961,-1.0,-0.19743572628803896,3
95,99,106.0,7.254855559195814,-1.2310399916426276,-0.16968497602715688,11
108,109,111.0,7.64634500574192,-0.75,-0.09808607896149044,3
114,115,116.0,9.692928538897224,-0.3392351516734511,-0.034998210325405565,2
118,119,120.0,11.063555611218028,-0.7097655204156972,-0.06415347338210346,2
126,127,130.0,13.23973429845988,-1.0,-0.07553021665369264,4
130,132,136.0,13.381058501270584,-1.4000000000000004,-0.10462550476608894,6
137,152,189.0,13.838127634100266,-6.202794027745638,-0.4482393999937213,52
190,191,193.0,14.32988552949432,-0.6804210503621295,-0.04748265776175677,3
193,194,195.0,15.984411087844089,-0.25840353981244135,-0.016165971857978145,2
197,207,262.0,16.51318424323445,-5.608431453629125,-0.3396335540752495,65
266,267,270.0,19.11468864164366,-1.0,-0.05231578806998609,4
271,274,280.0,19.452657541978407,-1.279571690872931,-0.06577875995152042,9
280,281,283.0,19.45492855218883,-1.0,-0.051400856976547074,3
284,290,296.0,20.06837504691993,-2.3468780096829214,-0.11694409757620697,12
297,306,313.0,20.974452896343205,-2.8566033019716848,-0.1361944130838197,16
313,315,317.0,22.085136919370917,-0.94956009636606,-0.04299543624441825,4
317,349,413.0,22.206896945893458,-6.864708597338026,-0.3091250711012761,96
416,417,418.0,23.426468354252066,-0.06201926285723758,-0.002647401303491,2
418,419,421.0,23.764449091394827,-0.6900000000000013,-0.02903496720443026,3
422,426,428.0,24.68634306143946,-1.204203480379551,-0.04878014849678322,6
428,460,579.0,24.837375278167592,-13.389857975971701,-0.5391011661260994,151
579,580,583.0,25.11055679885315,-1.0,-0.03982388793727075,4
587,592,594.0,26.871878578853153,-1.2481585900000027,-0.04644850512915916,7
594,595,599.0,27.01442316885315,-1.0,-0.03701726273219008,5
600,616,626.0,27.46449650885315,-3.3430806700000026,-0.12172371952722179,26
626,627,629.0,27.576763058853146,-1.0,-0.03626241404278823,3
629,630,631.0,28.321682498853146,-0.15855204,-0.005598256389125907,2
633,635,639.0,29.812438178853146,-2.0,-0.06708609299251007,6
641,700,944.0,31.115115408853143,-15.83640173999999,-0.5089616905452351,303
953,1085,,35.81223659885315,-19.106414409999996,-0.533516368274297,199
