start_idx,trough_idx,recovery_idx,peak_equity,dd_amount,dd_pct,duration_days
1,2,3.0,-20.430140260264775,-2.9893269086478007,0.1463194510936294,2
4,6,8.0,-1.596204709019947,-19.12690078943262,11.982736726278887,4
8,9,10.0,20.668930435393435,-9.702109403485265,-0.46940548925896003,2
10,18,20.0,33.72983282202515,-42.70954070028111,-1.2662245000038164,10
21,22,23.0,69.19598886379114,-1.1508725278107192,-0.016632069961109372,2
24,25,26.0,93.15542237718562,-1.176540756999998,-0.01262986873953717,2
27,28,29.0,107.66618730408011,-9.399176163179675,-0.08729923849382455,2
31,334,993.0,139.00346917543027,-656.9181695294882,-4.725912046845537,962
994,1011,1062.0,153.39378676563558,-158.03741692000003,-1.0302726091602346,68
1062,1063,1065.0,155.3853036256356,-15.56436407999999,-0.10016625586097042,3
1066,1068,1076.0,177.1091196256356,-43.78363213999998,-0.24721274789546485,10
1077,1078,1079.0,183.9723417256356,-14.00735444,-0.07613837117369338,2
1080,1083,1087.0,193.2559290156356,-26.91050956000001,-0.13924804117043563,7
1088,1089,1090.0,214.1964383556356,-5.200927119999989,-0.02428110924685294,2
1092,1097,1101.0,228.4192162356356,-52.233518119999985,-0.2286739223643788,9
1106,1107,1110.0,285.1013173056356,-16.151331620000008,-0.056651199554737186,4
1110,1112,1113.0,285.5253848556356,-15.76410530999999,-0.05521087141856223,3
1118,1120,1122.0,340.25244816563554,-34.19656954000004,-0.10050352238274884,4
1124,1321,1432.0,379.7698719856355,-474.84278078000006,-1.2503434732652003,308
1432,1433,1434.0,384.31924891563534,-4.943433289999973,-0.012862830326474596,2
1434,1435,1436.0,412.5907436656354,-0.9940023600000245,-0.002409172709908312,2
1441,1505,1526.0,494.7861280556354,-126.63005882999988,-0.25592887845829254,85
1527,1533,1536.0,534.3052526756356,-38.81238395999998,-0.07264084297438506,9
1537,1720,1765.0,561.5735172256357,-386.21057889999975,-0.6877293302718609,228
1766,1857,,581.4560997556359,-202.96047902999982,-0.3490555505657202,96
