start_idx,trough_idx,recovery_idx,peak_equity,dd_amount,dd_pct,duration_days
0,25,62.0,21.531792476056275,-200.72507240341415,-9.322264861442626,62
62,65,66.0,36.8620886109089,-3.7129613432896846,-0.1007257451546269,4
67,68,69.0,72.69566651898172,-45.5,-0.62589700567804,2
70,77,80.0,96.61405986472401,-116.02092225495609,-1.2008699605151152,10
80,81,83.0,104.03600419101906,-7.299545275644846,-0.07016364509965466,3
84,85,87.0,123.9514858513584,-13.5,-0.10891357943211015,3
88,90,91.0,149.6627101041415,-10.727814115069634,-0.07167994023096855,3
91,93,96.0,178.43560033225086,-8.10347400615035,-0.04541399805342381,5
100,108,111.0,345.231118598512,-96.95205537059937,-0.28083231825735316,11
113,118,120.0,368.1242635761078,-77.84018271460536,-0.21145083445039559,7
120,121,122.0,400.6233254008391,-4.878700898180398,-0.012177775453536235,2
122,126,128.0,404.0272563763735,-31.636775927969268,-0.07830356845652482,6
128,133,139.0,405.1425947899743,-100.02005589367786,-0.24687617934996,11
141,151,160.0,453.37388588620877,-132.51593718865684,-0.29228842091252843,19
160,161,165.0,488.70459540954903,-26.036027254142596,-0.053275593269843574,5
165,168,171.0,496.4339375313115,-62.841815804090686,-0.12658646207105265,6
171,172,174.0,503.7872663612465,-35.66092840771887,-0.07078568830310171,3
176,177,181.0,516.6745589174859,-56.101129079620875,-0.10858117186408699,5
181,195,203.0,582.6168522634226,-155.08087034246796,-0.26617985686474815,22
203,507,1261.0,587.7175324438205,-1148.9914198337374,-1.9550062000976103,1058
1261,1311,1318.0,591.4783206260595,-197.80284798000008,-0.3344211293672312,57
1318,1320,1321.0,606.5851057960593,-74.55833152000002,-0.12291487345729087,3
1321,1583,1710.0,607.3147667760593,-1166.84644759,-1.9213207243160315,389
1714,1773,,773.7096572560595,-589.0177404600004,-0.7612904077595929,148
