start_idx,trough_idx,recovery_idx,peak_equity,dd_amount,dd_pct,duration_days
1,4,5.0,-5.829713159781075,-16.169022101356465,2.773553630889734,4
5,31,48.0,-5.715830958844972,-38.930222573413914,6.810947149017988,43
51,55,61.0,32.446857584199535,-26.08999397515048,-0.8040838440963658,10
61,70,77.0,42.328243651727206,-24.45474082030906,-0.5777405039887872,16
78,80,81.0,56.718704932319056,-3.4003596473060895,-0.05995129210661015,3
81,99,137.0,65.3197071318844,-84.49224383643313,-1.2935184119218146,56
139,145,149.0,100.74470737332057,-19.718250300326147,-0.1957249250549511,10
150,152,157.0,107.12256327610913,-10.659429265572001,-0.0995068540144736,7
157,162,166.0,111.95838708353511,-29.62528936901046,-0.26460982638939096,9
166,171,173.0,116.94632166218506,-15.954647635634132,-0.13642710098844532,7
174,180,220.0,136.43340771356495,-50.937864654745,-0.3733533121278219,46
224,228,231.0,192.3533967977823,-21.13227713713775,-0.10986173100625686,7
233,238,241.0,207.51002755472706,-26.01351016262194,-0.12536025593154212,8
241,1706,,210.26396273255807,-813.8616854727292,-3.870666541693156,1621
