file,total_pnl,n_days,n_bets,max_dd,max_dd_pct,ttr_median_days,ttr_p90_days,ttr_max_days,streak_day_max,streak_day_p90,worst_1d,worst_5d,worst_20d
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_PNL_daily.parquet,7423.641152116605,2696,143484,-425.0570873403667,-270.7434581350376,3.0,26.30000000000001,161.0,10,3.0,-81.79091828672438,-158.60641852197116,-276.99090444000007
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP10_BY_POST_RATIO_daily.parquet,7423.641152116605,2696,143484,-425.0570873403667,-270.7434581350376,3.0,26.30000000000001,161.0,10,3.0,-81.79091828672438,-158.60641852197116,-276.99090444000007
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_PNL_daily.parquet,5996.013446651439,2700,253080,-848.6471014454805,-1097.8230821012924,4.0,29.0,316.0,10,4.0,-112.39051123878644,-231.03768746092697,-372.1301611979303
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP15_BY_POST_RATIO_daily.parquet,5996.013446651439,2700,253080,-848.6471014454805,-1097.8230821012924,4.0,29.0,316.0,10,4.0,-112.39051123878644,-231.03768746092697,-372.1301611979303
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_RATIO_daily.parquet,4960.931808600882,2525,91963,-400.6250659289087,-188.17917893006987,4.0,34.0,182.0,10,4.0,-65.41604935647646,-119.63615214000001,-252.27753948999998
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_PNL_daily.parquet,4960.931808600882,2525,91963,-400.6250659289087,-188.17917893006987,4.0,34.0,182.0,10,4.0,-65.41604935647646,-119.63615214000001,-252.27753948999998
reports/bfsp/uk/greyhound/win/track_baskets/basket_ALL_UK_10_20_daily.parquet,4400.255410716241,2702,441749,-1157.341593601554,-196.9826155106054,5.0,48.0,728.0,8,4.0,-140.15728129533358,-309.54789205,-586.84088754
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_RATIO_daily.parquet,3755.932764159179,2345,57588,-341.4437273507557,-504.09847309870923,4.0,51.10000000000001,242.0,9,4.0,-61.0,-117.34049732389165,-184.38878877974193
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_PNL_daily.parquet,3755.932764159179,2345,57588,-341.4437273507557,-504.09847309870923,4.0,51.10000000000001,242.0,9,4.0,-61.0,-117.34049732389165,-184.38878877974193
