candidate,tracks,band_filter,total_pnl,max_dd,ratio,bets
TOP3_exclude_worst_band,"Harlow,Romford,Swindon",exclude_12-15,1856.1947407020075,-202.8164767466194,9.152090453779895,17876
TOP2_tracks,"Harlow,Romford",None,1554.9177398746679,-370.4633416193774,4.1972243004605465,18996
