sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
0,1545.7540584891037,-543.1043361304081,-209.7045158824916,0,0,0,0,0,0,0
1,1355.4055965757796,-424.9387342990965,-202.80970657331142,0,0,0,0,0,0,0
2,895.8868540826024,-973.9898702163258,-229.15112481291212,1,1,1,1,0,0,0
3,757.4138213865355,-721.7518865238147,-212.04085359000004,0,0,0,0,0,0,0
4,1646.4376006293037,-524.7942669414674,-211.86295001433984,1,1,0,0,0,0,0
5,-50.46161085263173,-876.0352072640517,-211.36328509784622,1,1,1,0,0,0,0
6,301.33356830650746,-622.5451150519091,-205.06930463000006,1,0,0,0,0,0,0
7,130.26925821878882,-928.5319360297085,-212.04085359000004,1,1,1,0,0,0,0
8,1818.8167193478605,-458.0653287578193,-205.06930463,1,1,0,0,0,0,0
9,587.037108767183,-845.205946406993,-205.06930463000003,0,0,0,0,0,0,0
10,748.0299662505403,-661.1830056249496,-205.06930463,1,1,1,0,0,0,0
11,1584.4440643339913,-868.8363582801992,-211.36328509784627,1,1,1,1,0,0,0
12,1024.5912592363925,-811.2407188310453,-205.06930463000003,0,0,0,0,0,0,0
13,1483.756965463252,-422.3115965176246,-205.06930463,0,0,0,0,0,0,0
14,-79.10024137012081,-998.9388803108552,-211.3632850978463,1,1,0,0,0,0,0
15,1848.4789435420369,-808.2209518201155,-205.06930463000003,0,0,0,0,0,0,0
16,508.6013514782992,-593.0177497974096,-214.45473585471848,1,1,0,0,0,0,0
17,1397.9404163245856,-460.1362478747183,-211.36328509784627,0,0,0,0,0,0,0
18,835.2527809020085,-664.3050948105334,-229.15112481291214,1,0,0,0,0,0,0
19,1519.1527854936146,-483.381421685689,-205.06930463,0,0,0,0,0,0,0
20,3161.736372866324,-506.23692909678766,-212.04085359000007,0,0,0,0,0,0,0
21,436.308579411968,-534.029860457138,-205.06930462999995,0,0,0,0,0,0,0
22,-165.64488128474417,-884.2644182027275,-214.45473585471845,1,1,0,0,0,0,0
23,705.8794308865911,-733.2665661912374,-205.06930462999998,1,1,1,0,0,0,0
24,2255.9660971524654,-534.0199974253987,-205.06930463,0,0,0,0,0,0,0
25,2080.454712438177,-894.2996574222364,-229.15112481291214,0,0,0,0,0,0,0
26,694.8840249668215,-570.996866618842,-205.06930462999995,0,0,0,0,0,0,0
27,1803.6458904348387,-529.7187551713598,-211.36328509784624,0,0,0,0,0,0,0
28,220.43132694452132,-742.3874313163844,-212.04085359000004,1,1,0,0,0,0,0
29,2214.856423156449,-384.13738849471844,-205.06930463,0,0,0,0,0,0,0
30,429.7844962085591,-670.6845476262228,-212.04085359,0,0,0,0,0,0,0
31,2758.6223194654385,-535.4362931304079,-229.15112481291217,0,0,0,0,0,0,0
32,-1136.427588015872,-1657.1780691378806,-212.04085359,1,1,1,1,1,0,0
33,684.160078224899,-668.2563252701145,-205.06930463000003,1,0,0,0,0,0,0
34,1099.8842535164888,-486.2102309251078,-205.06930463,1,0,0,0,0,0,0
35,-90.80137260719806,-1111.8793407930677,-229.15112481291214,1,1,1,1,0,0,0
36,1881.9317109824938,-751.3997790604087,-211.36328509784624,0,0,0,0,0,0,0
37,1388.4042904747434,-535.4362931304079,-229.15112481291217,0,0,0,0,0,0,0
38,932.9251362758761,-781.3475330784484,-205.06930463,0,0,0,0,0,0,0
39,675.8666111962891,-913.2655873788425,-205.06930463,1,1,1,1,0,0,0
40,579.0847103457356,-832.5837204079398,-229.15112481291214,0,0,0,0,0,0,0
41,2479.9673273190406,-482.8460158256894,-211.36328509784636,0,0,0,0,0,0,0
42,-198.79532070980358,-909.3255942042179,-214.45473585471848,1,0,0,0,0,0,0
43,995.4164132048543,-1022.2634443060949,-209.1767963068574,1,1,1,1,0,0,0
44,-164.2368199180549,-991.7853775937551,-221.30215729958044,1,1,0,0,0,0,0
45,-705.8795525773012,-938.7925650626318,-211.36328509784622,1,1,1,1,0,0,0
46,1081.6416280869719,-645.1587892827488,-205.06930463000003,1,0,0,0,0,0,0
47,1572.9508521610853,-809.6372475251245,-211.36328509784624,0,0,0,0,0,0,0
48,390.4403361283144,-472.52457708967836,-212.04085359,1,1,0,0,0,0,0
49,1105.7867898443126,-598.9573246288014,-211.36328509784627,1,1,1,0,0,0,0
50,-1.4039735166362632,-1187.442298637975,-209.17679630685748,1,1,1,1,0,0,0
51,-162.70819575166996,-915.308393545689,-205.06930463000003,1,1,1,0,0,0,0
52,1137.0862216494666,-1081.5721806053486,-193.68547191171842,1,1,1,1,1,0,0
53,2359.6827005677524,-711.0444092104067,-221.30215729958041,0,0,0,0,0,0,0
54,2096.705821520289,-354.0213293130287,-193.68547191171848,0,0,0,0,0,0,0
