sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
0,1952.3890584891014,-505.28433613040784,-204.4445158824915,0,0,0,0,0,0,0
1,1777.270596575778,-381.758734299096,-198.3197065733114,0,0,0,0,0,0,0
2,1316.0468540826039,-806.1248702163248,-223.7661248129121,1,1,1,0,0,0,0
3,1147.4538213865387,-645.316886523813,-208.39585359,0,0,0,0,0,0,0
4,2074.8876006293067,-473.8192669414678,-207.39295001433982,1,1,0,0,0,0,0
5,349.6383891473676,-712.5502072640518,-207.21828509784626,1,1,0,0,0,0,0
6,698.4435683065064,-531.0851150519088,-202.09930463,1,0,0,0,0,0,0
7,506.5142582187878,-843.0769360297093,-208.39585358999997,1,1,0,0,0,0,0
8,2226.9067193478627,-420.47338766457824,-202.09930463000003,1,0,0,0,0,0,0
9,1000.1771087671833,-768.0159464069925,-202.09930462999998,0,0,0,0,0,0,0
10,1140.9799662505409,-597.0280056249501,-202.09930463,1,1,1,0,0,0,0
11,1987.769064333992,-789.8463582801991,-207.2182850978463,1,1,1,0,0,0,0
12,1430.9612592363924,-731.8057188310455,-202.09930462999998,0,0,0,0,0,0,0
13,1873.1019654632496,-406.00159651762465,-202.09930463,0,0,0,0,0,0,0
14,325.44475862987747,-920.303264990408,-207.21828509784626,0,0,0,0,0,0,0
15,2241.9839435420436,-748.1659518201141,-202.09930462999998,0,0,0,0,0,0,0
16,913.2163514783005,-517.5227497974096,-208.9697358547184,0,0,0,0,0,0,0
17,1783.140416324584,-445.6162478747183,-207.21828509784626,0,0,0,0,0,0,0
18,1225.1877809020123,-597.2664770304054,-223.76612481291212,0,0,0,0,0,0,0
19,1906.4977854936146,-462.47818018568887,-202.0993046300001,0,0,0,0,0,0,0
20,3560.8113728663247,-475.17692909678726,-208.39585358999997,0,0,0,0,0,0,0
21,847.2585794119686,-486.105562646477,-202.09930462999998,0,0,0,0,0,0,0
22,265.7551187152548,-646.6227937092367,-208.96973585471846,0,0,0,0,0,0,0
23,1106.3694308865906,-654.9305774288422,-202.09930462999998,1,1,0,0,0,0,0
24,2652.8760971524703,-506.3099974253996,-202.09930463000003,0,0,0,0,0,0,0
25,2466.8597124381754,-815.0796574222313,-223.76612481291207,0,0,0,0,0,0,0
26,1093.4140249668228,-494.0268666188423,-202.09930462999998,0,0,0,0,0,0,0
27,2218.3908904348364,-469.13101582568925,-207.2182850978463,0,0,0,0,0,0,0
28,597.5763269445217,-571.8035658047061,-208.39585359,1,0,0,0,0,0,0
29,2585.741423156448,-373.1823884947183,-202.09930462999998,0,0,0,0,0,0,0
30,831.169496208558,-592.3913061262226,-208.39585359,0,0,0,0,0,0,0
31,3149.497319465439,-518.5962931304075,-223.76612481291218,0,0,0,0,0,0,0
32,-726.1625880158724,-1353.5280691378805,-208.39585359000003,1,1,1,1,0,0,0
33,1065.4000782249016,-619.7463252701148,-202.09930462999998,1,0,0,0,0,0,0
34,1522.3692535164887,-430.3402309251078,-202.09930463,0,0,0,0,0,0,0
35,309.38862739280177,-938.0193407930682,-223.76612481291207,1,1,1,0,0,0,0
36,2277.4317109824933,-719.4497790604071,-207.2182850978463,0,0,0,0,0,0,0
37,1798.2792904747366,-518.5962931304077,-223.7661248129121,0,0,0,0,0,0,0
38,1328.095136275881,-637.3077177361449,-202.09930463,0,0,0,0,0,0,0
39,1070.361611196289,-854.1205873788424,-202.09930462999998,1,1,1,0,0,0,0
40,964.884710345737,-710.1037204079397,-223.7661248129121,0,0,0,0,0,0,0
41,2877.45732731904,-469.13101582568913,-207.21828509784626,0,0,0,0,0,0,0
42,208.79967929019674,-668.4028642731159,-208.96973585471846,0,0,0,0,0,0,0
43,1375.856413204853,-937.2234443060951,-204.3467963068574,1,1,1,0,0,0,0
44,239.7081800819442,-851.1071360937556,-215.68215729958035,0,0,0,0,0,0,0
45,-316.3145525772998,-657.7610170501315,-207.2182850978462,1,1,0,0,0,0,0
46,1481.6316280869717,-601.0240061726819,-202.09930462999998,0,0,0,0,0,0,0
47,1966.8608521610865,-760.4522475251246,-207.2182850978463,0,0,0,0,0,0,0
48,782.0603361283171,-425.9397256658165,-208.39585359000003,0,0,0,0,0,0,0
49,1530.961789844313,-503.5873246288015,-207.21828509784623,1,1,0,0,0,0,0
50,395.9160264833635,-1049.0972986379752,-204.34679630685744,1,1,1,0,0,0,0
51,213.63180424832873,-864.1851520456895,-202.09930463,1,0,0,0,0,0,0
52,1547.9512216494672,-924.4829420854273,-188.17547191171843,1,1,1,1,0,0,0
53,2748.0127005677564,-644.9994092104043,-215.6821572995804,0,0,0,0,0,0,0
54,2477.3758215202847,-311.26063951480137,-188.17547191171838,0,0,0,0,0,0,0
55,3153.866984115069,-362.81030635775204,-202.09930463,1,0,0,0,0,0,0
56,2984.215799427864,-655.5473889260954,-204.3467963068574,0,0,0,0,0,0,0
57,1108.0051893279592,-611.212837546035,-208.9697358547184,0,0,0,0,0,0,0
58,444.3874954317387,-625.4738513951561,-207.21828509784626,0,0,0,0,0,0,0
