sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
0,-551.4105681444817,-1421.3832063597026,-253.62998512296667,1,1,1,1,1,0,0
1,1993.7976945926214,-416.38467981324015,-236.44329010047437,0,0,0,0,0,0,0
2,-745.7665311959798,-1157.42300899021,-233.80266056669245,1,1,1,1,1,0,0
3,-596.4027356388203,-1240.0118653044067,-238.66534144047438,1,1,1,1,0,0,0
4,817.0543737191776,-985.4736610610667,-254.14073106231126,1,0,0,0,0,0,0
5,1280.8300529253784,-738.5535181643487,-211.048099776504,1,0,0,0,0,0,0
6,-569.7278191138633,-1159.8657936447466,-238.66534144047435,1,1,1,0,0,0,0
7,700.7198268751469,-427.9855166835371,-218.58635696082453,1,1,0,0,0,0,0
8,594.915613409521,-773.6323185646141,-202.09930463,0,0,0,0,0,0,0
9,-841.8547151915468,-1392.3124652138038,-224.90326093726577,1,1,1,1,1,0,0
10,-64.10468158930965,-545.336653955931,-241.815419974754,1,1,0,0,0,0,0
11,-665.458335577719,-1018.2144105778041,-262.4448716683509,1,1,1,1,0,0,0
12,1276.459940368936,-837.4715903589229,-247.18345795465183,0,0,0,0,0,0,0
13,285.00367865281936,-1358.5308865466407,-254.14073106231135,0,0,0,0,0,0,0
14,169.66764140974618,-872.178734778045,-231.58608844433982,0,0,0,0,0,0,0
15,22.369562661682625,-1431.6291547899632,-250.14278662047437,1,1,1,1,0,0,0
16,-211.49432116453528,-1014.8220941958323,-248.3707777639637,1,0,0,0,0,0,0
17,107.95833284805592,-778.7756737295088,-262.4448716683509,0,0,0,0,0,0,0
18,353.27582814175213,-1202.4793980270592,-259.5849658100626,1,1,1,1,1,0,0
19,-597.726664247617,-1494.277258250388,-230.79943546020485,1,1,1,0,0,0,0
20,487.7763166738376,-1124.9748294677456,-234.8574771772301,1,1,1,1,0,0,0
21,640.3777026019451,-901.2348684879722,-248.45566760402932,1,0,0,0,0,0,0
22,1622.8239015720153,-493.62867745925234,-239.15145461125564,1,1,0,0,0,0,0
23,312.36536512762353,-998.0176838102833,-254.1407310623113,1,1,1,0,0,0,0
24,137.7412559319951,-735.6308467735549,-208.9798262473209,1,1,0,0,0,0,0
25,-118.02110998339893,-897.1185243673767,-262.4448716683509,1,0,0,0,0,0,0
26,-1131.8781623872146,-1272.5470937018697,-211.96044287999996,1,1,1,1,1,0,0
