sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
0,1139.1190584890999,-614.1844621523657,-214.96451588249147,0,0,0,0,0,0,0
1,933.5405965757748,-477.96912346380054,-207.29970657331137,0,0,0,0,0,0,0
2,475.7268540826044,-1141.8548702163246,-234.53612481291213,1,1,1,1,1,0,0
3,367.37382138653874,-798.1868865238137,-215.68585358999997,1,0,0,0,0,0,0
4,1217.9876006293052,-575.7692669414677,-216.33295001433984,1,1,0,0,0,0,0
5,-450.56161085263113,-1039.5202072640511,-215.50828509784623,1,1,1,1,0,0,0
6,-95.77643169349284,-714.0051150519088,-208.03930463,1,1,1,0,0,0,0
7,-245.9757417812118,-1013.9869360297089,-215.68585358999997,1,1,1,1,0,0,0
8,1410.726719347853,-506.3503287578196,-208.03930463000003,1,1,0,0,0,0,0
9,173.89710876718183,-935.7063856353036,-208.03930463000006,1,0,0,0,0,0,0
10,355.07996625054,-725.33800562495,-208.03930463000003,1,1,1,0,0,0,0
11,1181.1190643339905,-956.6257167001988,-215.50828509784628,1,1,1,1,0,0,0
12,618.2212592363927,-890.6757188310453,-208.03930463000003,0,0,0,0,0,0,0
13,1094.4119654632505,-479.42190881388217,-208.03930462999998,1,0,0,0,0,0,0
14,-483.6452413701234,-1214.738224252833,-215.50828509784623,1,1,1,0,0,0,0
15,1454.973943542042,-868.2759518201144,-208.03930463,0,0,0,0,0,0,0
16,103.98635147829847,-668.5127497974097,-219.93973585471852,1,1,0,0,0,0,0
17,1012.7404163245787,-477.22417436471824,-215.50828509784623,0,0,0,0,0,0,0
18,445.3177809020101,-849.2785855024109,-234.53612481291213,1,1,0,0,0,0,0
19,1131.8077854936082,-509.69648091638174,-208.03930463,0,0,0,0,0,0,0
20,2762.661372866322,-543.5283610267879,-215.68585358999997,0,0,0,0,0,0,0
21,25.358579411967913,-656.802786947138,-208.03930463,1,0,0,0,0,0,0
22,-597.0448812847461,-1134.5490078621528,-219.93973585471844,1,1,1,0,0,0,0
23,305.3894308865901,-852.2115661912376,-208.03930463,1,1,1,0,0,0,0
24,1859.0560971524612,-561.7299974254004,-208.03930463,0,0,0,0,0,0,0
25,1694.0497124381739,-973.5196574222368,-234.53612481291205,0,0,0,0,0,0,0
26,296.35402496682207,-657.9704302082664,-208.03930462999998,0,0,0,0,0,0,0
27,1388.900890434833,-660.4881135913625,-215.50828509784623,0,0,0,0,0,0,0
28,-156.7136730554794,-939.8324313163846,-215.68585358999997,1,1,1,0,0,0,0
29,1843.97142315644,-395.0923884947185,-208.03930462999995,0,0,0,0,0,0,0
30,28.39949620855932,-796.6936045226558,-215.68585359000002,1,0,0,0,0,0,0
31,2367.747319465437,-552.2762931304085,-234.53612481291208,0,0,0,0,0,0,0
32,-1546.6925880158763,-1960.828069137884,-215.68585359,1,1,1,1,1,1,0
33,302.9200782248984,-719.3342517601147,-208.03930462999998,1,1,0,0,0,0,0
34,677.3992535164876,-545.4136484916185,-208.03930463,1,1,0,0,0,0,0
35,-490.991372607198,-1322.6407539624531,-234.53612481291213,1,1,1,1,1,0,0
36,1486.4317109824922,-826.139472822542,-215.50828509784623,0,0,0,0,0,0,0
37,978.5292904747373,-574.390878028632,-234.5361248129121,0,0,0,0,0,0,0
38,537.7551362758755,-968.7939330126155,-208.03930462999995,0,0,0,0,0,0,0
39,281.3716111962884,-972.410587378842,-208.03930463,1,1,1,1,0,0,0
40,193.2847103457343,-955.0637204079408,-234.53612481291202,0,0,0,0,0,0,0
41,2082.4773273190385,-502.7924477556893,-215.50828509784623,0,0,0,0,0,0,0
42,-606.3903207098039,-1213.1785206942184,-219.9397358547184,1,1,1,0,0,0,0
43,614.9764132048547,-1107.303444306095,-214.00679630685744,1,1,1,1,0,0,0
44,-568.1818199180548,-1134.9053775937543,-226.92215729958042,1,1,1,1,0,0,0
45,-1095.4445525772992,-1285.8954915526303,-215.50828509784628,1,1,1,1,1,0,0
46,681.6516280869727,-772.873789282749,-208.03930463,1,1,0,0,0,0,0
47,1179.0408521610834,-858.8222475251246,-215.50828509784623,0,0,0,0,0,0,0
48,-1.1796638716849994,-555.6345770896785,-215.68585358999997,1,1,0,0,0,0,0
49,680.611789844313,-694.3273246288014,-215.50828509784628,1,1,1,0,0,0,0
50,-398.72397351663767,-1469.0366823058055,-214.00679630685744,1,1,1,1,1,0,0
51,-539.0481957516708,-1031.761095971735,-208.03930463,1,1,1,1,0,0,0
52,726.2212216494664,-1275.427180605348,-199.19547191171844,1,1,1,1,1,0,0
53,1971.3527005677477,-777.089409210407,-226.92215729958036,0,0,0,0,0,0,0
54,1716.0358215202823,-397.4363293130285,-199.1954719117184,0,0,0,0,0,0,0
55,2371.676984115074,-422.01030635775214,-208.03930463,1,1,0,0,0,0,0
56,2154.3457994278574,-778.8014784352072,-214.00679630685744,0,0,0,0,0,0,0
57,300.1351893279584,-883.2428375460361,-219.93973585471844,0,0,0,0,0,0,0
58,-364.81250456826035,-930.1793580519011,-215.50828509784628,1,1,0,0,0,0,0
59,362.8655368396278,-796.6191928487028,-234.53612481291213,1,1,0,0,0,0,0
60,1579.9520891810891,-574.3908780286322,-208.03930463,0,0,0,0,0,0,0
61,1504.7048080093716,-568.6413693617656,-208.03930463,0,0,0,0,0,0,0
62,632.8895402731497,-955.4154176743629,-208.03930462999998,1,0,0,0,0,0,0
63,698.9545973750295,-500.54885300783496,-208.03930463,0,0,0,0,0,0,0
64,986.3498829031212,-786.1957567849502,-208.03930463,1,1,1,0,0,0,0
65,1391.2702709455682,-733.957345186644,-208.03930462999998,1,1,1,0,0,0,0
66,390.06768236663794,-880.4875006749436,-219.9397358547184,0,0,0,0,0,0,0
67,1038.6325182631847,-693.8319004110665,-215.68585358999997,0,0,0,0,0,0,0
68,1992.2768543926718,-646.1429511521335,-208.03930463,0,0,0,0,0,0,0
69,346.18081784311727,-679.932681604822,-208.03930463,1,1,1,0,0,0,0
70,868.9375019029205,-707.2661296368418,-234.53612481291213,1,0,0,0,0,0,0
71,474.23346270133334,-577.3108583841058,-215.50828509784623,1,0,0,0,0,0,0
72,753.2608430342103,-590.4196209789266,-214.0067963068574,0,0,0,0,0,0,0
73,685.093696740096,-868.257029285921,-215.68585359000002,1,0,0,0,0,0,0
74,616.428555163905,-756.5715499883554,-226.9221572995804,0,0,0,0,0,0,0
75,30.46914175533776,-565.7470812667134,-215.50828509784628,1,1,1,0,0,0,0
76,55.79630118394516,-1096.316407506633,-215.50828509784617,1,1,1,0,0,0,0
77,388.54552731505515,-1442.254620298618,-234.53612481291213,1,1,0,0,0,0,0
78,2285.062033983571,-561.7299974253981,-226.9221572995804,0,0,0,0,0,0,0
79,-978.2771595221831,-1189.0590477646415,-226.9221572995804,1,1,1,1,1,0,0
80,352.0798532655733,-1104.4537004199506,-215.68585358999994,0,0,0,0,0,0,0
81,-392.60993091454804,-1028.4424017591157,-214.00679630685744,1,1,1,1,0,0,0
82,875.845247104229,-591.4742147062219,-219.93973585471838,1,1,1,0,0,0,0
83,-223.88498082485773,-1049.7791780126113,-214.00679630685744,1,0,0,0,0,0,0
84,-259.99200883347316,-1464.65246938549,-215.68585359,1,1,1,1,1,0,0
85,1487.162348318953,-525.3447281138522,-208.03930463,1,0,0,0,0,0,0
86,-423.38736258165903,-1277.3168206585478,-214.0067963068574,1,1,0,0,0,0,0
87,700.8444940620864,-864.6119638087215,-234.53612481291208,0,0,0,0,0,0,0
88,387.684667470138,-917.8943697667974,-215.50828509784623,1,1,1,0,0,0,0
89,44.39399868766504,-1018.0634281344063,-219.9397358547184,0,0,0,0,0,0,0
90,-14.764547408308063,-759.1149734001149,-208.03930463,1,1,0,0,0,0,0
91,557.7157633077683,-642.0267437758837,-219.93973585471846,1,0,0,0,0,0,0
92,1053.6307449933702,-600.8830235260914,-208.03930462999995,1,0,0,0,0,0,0
93,446.9563552114573,-456.0671452137875,-214.96451588249153,1,0,0,0,0,0,0
94,270.368997477313,-1153.4432873233573,-208.03930463,1,1,1,0,0,0,0
95,566.3533598143257,-1087.3546369965816,-234.53612481291208,1,0,0,0,0,0,0
96,1078.1224826950224,-766.1740478887027,-214.0067963068574,1,0,0,0,0,0,0
