sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
0,-1791.0399656892719,-2243.0333986274245,-297.4002393130168,1,1,1,1,1,1,1
1,-388.63035764123754,-1039.192462304819,-257.46329010047435,1,1,0,0,0,0,0
2,-3230.756981521,-3369.2953322096528,-267.50278662047435,1,1,1,1,1,1,1
3,-1226.6598952832346,-1710.062611401369,-244.24326093726575,1,1,1,1,1,0,0
4,-477.07003029422805,-1425.7540798739897,-276.06073106231133,1,1,1,0,0,0,0
5,-1356.1526529364696,-1817.1717578108542,-255.71750838098683,1,1,1,1,1,0,0
6,-1072.3250372543234,-1792.718687197043,-252.6453414404743,1,1,1,1,1,0,0
7,-1440.6859212528886,-1625.7983727381622,-262.9754199747539,1,1,1,1,1,1,0
8,-1708.9828363573668,-1893.4803166590727,-276.06073106231133,1,1,1,1,1,1,0
9,-2408.910357142324,-2833.6215005354234,-240.6746304394578,1,1,1,1,1,1,1
10,-740.5836764751486,-1059.4941901719305,-214.12755333943684,1,1,1,1,1,0,0
11,-1661.0930535537489,-1978.1560581858207,-232.48287947084285,1,1,1,1,1,1,0
12,-251.14180384210044,-1243.7817024008075,-252.4440784094,1,1,1,1,1,0,0
13,-608.4296117485156,-1222.674347161516,-275.6899851229667,1,1,1,0,0,0,0
14,-393.180462204185,-1036.4497815849018,-249.3660884443398,1,1,0,0,0,0,0
15,-1811.5685140418263,-1847.9244303505777,-297.4002393130168,1,1,1,1,1,1,0
16,-664.5810770366268,-1977.8051954161033,-269.49077776396376,1,1,1,1,0,0,0
17,-1122.4538347418552,-1510.4109825828796,-230.6678747304744,1,1,1,1,1,0,0
18,-2411.4848114887086,-2620.03114991731,-247.49299638096673,1,1,1,1,1,1,1
19,-1511.4726664864602,-1826.2523697932443,-267.50278662047435,1,1,1,1,1,1,0
20,-2303.5984828027363,-2542.0926823843724,-275.68998512296673,1,1,1,1,1,1,1
21,-357.0815967874404,-1148.5886874604175,-234.49164200000004,1,1,0,0,0,0,0
22,-648.4060015688644,-1549.9007191884932,-266.9171387103179,1,1,1,1,0,0,0
23,-749.6940129567328,-1744.6070924937776,-235.96987891471844,1,1,1,1,1,0,0
24,-882.2801065506342,-1635.694237129057,-275.6899851229666,1,1,1,1,0,0,0
25,-1918.3408101326704,-2088.1395116217177,-245.46504624,1,1,1,1,1,1,0
26,-2526.6316173421646,-2870.5358079419952,-297.4002393130168,1,1,1,1,1,1,1
27,-3037.122385355318,-3610.3472090167106,-269.4907777639637,1,1,1,1,1,1,1
28,-1952.2680508413794,-2361.5945994671306,-257.4632901004744,1,1,1,1,1,1,1
29,-396.8104262297949,-1626.3498437932735,-245.46504624000005,1,1,1,1,1,0,0
