sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
0,-1378.9405681444825,-2054.0732063597043,-264.6599851229666,1,1,1,1,1,1,0
1,1185.3076945926161,-490.5331292865827,-246.95329010047436,0,0,0,0,0,0,0
2,-1520.5065311959809,-1764.3749024508356,-243.49266056669248,1,1,1,1,1,1,0
3,-1400.912735638824,-1847.3218653044087,-245.65534144047436,1,1,1,1,1,1,0
4,0.9843737191789312,-1222.2767893499238,-265.10073106231124,1,1,1,0,0,0,0
5,480.22005292537705,-984.5299941320673,-221.708099776504,1,1,0,0,0,0,0
6,-1337.1878191138617,-1734.4181138581189,-245.65534144047436,1,1,1,1,1,0,0
7,-133.0901731248549,-777.9731827659787,-229.02635696082447,1,1,0,0,0,0,0
8,-201.01438659048077,-918.6007680379546,-208.03930463000003,1,1,0,0,0,0,0
9,-1636.5247151915505,-2056.1985224500554,-234.57326093726576,1,1,1,1,1,1,0
10,-841.1846815893091,-1015.9517264566349,-252.39541997475385,1,1,1,1,1,0,0
11,-1463.3883355777277,-1577.742212789623,-272.054871668351,1,1,1,1,1,1,0
12,453.8899403689358,-960.5315903589236,-257.5634579546518,1,1,1,0,0,0,0
13,-531.1563213471818,-1763.8316499475648,-265.10073106231124,1,1,1,0,0,0,0
14,-629.1223585902526,-1067.4687347780443,-240.47608844433987,1,1,1,1,0,0,0
15,-760.3404373383202,-1816.8191547899664,-258.82278662047435,1,1,1,1,1,0,0
16,-996.834321164535,-1692.96177455008,-258.9307777639637,1,1,1,1,0,0,0
17,-698.6316671519448,-1286.157917637326,-272.0548716683509,1,1,1,0,0,0,0
18,-420.0741718582463,-1338.5893980270596,-269.37496581006263,1,1,1,1,1,0,0
19,-1398.6266642476169,-1931.8295025721602,-239.84943546020477,1,1,1,1,1,0,0
20,-339.11368332616456,-1474.4580077947503,-245.23747717723,1,1,1,1,1,0,0
21,-157.59229739805141,-1262.855772551533,-257.8356676040293,1,1,0,0,0,0,0
22,815.5639015720137,-590.1386774592519,-248.53145461125558,1,1,0,0,0,0,0
23,-447.8446348723758,-1337.5623211082616,-265.10073106231124,1,1,1,1,1,0,0
24,-658.7787440680044,-1010.4491844483143,-217.14982624732087,1,1,1,0,0,0,0
25,-920.2811099833972,-1265.1255216739203,-272.0548716683509,1,1,1,1,0,0,0
26,-1923.608162387219,-1989.097093701874,-221.12044287999998,1,1,1,1,1,1,0
27,-1865.3103238701399,-2419.2281995116177,-262.1057380489745,1,1,1,1,1,1,1
