track,train_bets,train_pnl,train_max_dd,train_profit_dd_ratio
Harlow,12741,1291.8914358275563,-195.16825878100923,6.619372657674415
Crayford,17308,1062.923152069572,-244.12003285538208,4.354100479311745
Romford,18409,967.0187488148731,-341.4437273507557,2.832146767829328
Swindon,10637,631.3644127996007,-222.57469143296424,2.83664062940831
Hove,15811,514.4306977520337,-412.0666577037003,1.2484162164867283
Sunderland,12479,460.170939129087,-253.37306693588803,1.816179378069847
Perry,2296,455.7977597935583,-67.71276689122169,6.731341528534064
Towcester,4721,451.9138965363396,-106.10302680585534,4.259198913891318
Henlow,17517,229.45001507271184,-395.3656926094577,0.5803488247999865
Kinsley,8050,217.20527120505596,-247.25823415104114,0.8784551582273885
PGran,1589,104.36214715387611,-123.68134637289046,0.843798601920033
Perry Barr,9335,31.81688159278655,-369.5507668132951,0.08609610491966593
Peterborough,1800,23.038504686724718,-177.29756888055823,0.1299425865343667
Central Park,13146,21.999040149776008,-399.9011218039926,0.055011198894569735
BVue,3935,10.941947168507912,-226.00540559913554,0.048414537428662946
Poole,3562,3.0652873270310845,-217.4705767457782,0.0140951818534987
Pelaw,527,-13.496406777582084,-84.0,-0.1606715092550168
Yarmouth,6213,-175.84771901892444,-220.12319043447894,-0.798860486580435
Central,3118,-192.03714396918804,-299.17532483535484,-0.6418883110571701
Monmore,18103,-199.48613960924317,-786.6278623159611,-0.2535965850760355
Newcastle,14085,-376.66907577764414,-522.5849375827751,-0.7207805826153585
Nottingham,10652,-462.26487101119875,-591.55871345566,-0.7814353174007742
Doncaster,12016,-538.2583296529173,-695.5461062355449,-0.773864341740508
Sheffield,13519,-700.4456059864082,-993.86394180509,-0.704770116434177
