basket,tracks,total_pnl,n_bets,n_days,max_dd,max_dd_pct,ttr_median_days,ttr_p90_days,ttr_max_days,streak_day_max,streak_day_p90,worst_1d,worst_5d,worst_20d,daily_file
WF_ALL_UK_10_20,BVue|Central|Central Park|Cork|Cpark|Crayf|Crayford|Doncaster|Harlow|Henlow|Hove|Kinsley|Limerick|Monmore|Mullingar|Newcastle|Nottingham|Oxford|PGran|Pelaw|Perry|Perry Barr|Peterborough|Poole|Romford|Shawf|Shawfield|Sheffield|Shelb|Shelbourn|Shelbourne|Suffolk|Sunderland|Swindon|Towcester|Tral|Tralee|Waterford|Yarmouth|Youghal,26.459677525267466,71093,410,-1154.341593601555,-4362.644225182324,3.0,143.60000000000002,238.0,7,4.6000000000000085,-140.15728129533358,-306.08496816905404,-557.735239970063,reports/bfsp/uk/greyhound/win/walkforward/daily/WF_ALL_UK_10_20_daily.parquet
WF_TOP3_TRAIN_PNL,Harlow|Crayford|Romford,575.5455425949617,14371,405,-254.5995345675716,-44.236209947733485,2.0,18.099999999999998,221.0,8,4.299999999999997,-61.5,-110.26162657247032,-186.1583588441108,reports/bfsp/uk/greyhound/win/walkforward/daily/WF_TOP3_TRAIN_PNL_daily.parquet
WF_TOP5_TRAIN_PNL,Harlow|Crayford|Romford|Swindon|Hove,597.3000190309258,23672,406,-438.6742560194683,-73.44286657322559,3.0,17.000000000000014,240.0,7,4.0,-72.0,-195.23910563168334,-256.99318270232686,reports/bfsp/uk/greyhound/win/walkforward/daily/WF_TOP5_TRAIN_PNL_daily.parquet
WF_TOP10_TRAIN_PNL,Harlow|Crayford|Romford|Swindon|Hove|Sunderland|Perry|Towcester|Henlow|Kinsley,428.4400122946861,39050,409,-821.4617516715398,-191.73320140431014,3.0,18.800000000000004,249.0,6,4.0,-84.26556158011277,-211.96593696003822,-273.0701085663258,reports/bfsp/uk/greyhound/win/walkforward/daily/WF_TOP10_TRAIN_PNL_daily.parquet
WF_TOP15_TRAIN_PNL,Harlow|Crayford|Romford|Swindon|Hove|Sunderland|Perry|Towcester|Henlow|Kinsley|PGran|Perry Barr|Peterborough|Central Park|BVue,428.4400122946861,39050,409,-821.4617516715398,-191.73320140431014,3.0,18.800000000000004,249.0,6,4.0,-84.26556158011277,-211.96593696003822,-273.0701085663258,reports/bfsp/uk/greyhound/win/walkforward/daily/WF_TOP15_TRAIN_PNL_daily.parquet
