month,total_pnl,n_bets,win_rate
2022-01,31.881683855811943,1130,0.07964601769911504
2022-02,73.7679640932782,973,0.08324768756423433
2022-03,141.6716768468463,1129,0.08503100088573959
2022-04,232.18478876827845,1132,0.09628975265017668
2022-05,144.1653383714832,998,0.08917835671342686
2022-06,152.57047600935275,1057,0.0879848628192999
2022-07,-48.356977390136116,1165,0.07381974248927038
2022-08,46.01794619202718,984,0.07926829268292683
2022-09,-65.52299506384207,948,0.07489451476793249
2022-10,24.924445664090513,1137,0.08003518029903255
2022-11,22.029887022777093,1027,0.0798442064264849
2022-12,-4.282310293147432,986,0.07606490872210954
2023-01,-114.60654586022686,997,0.07221664994984955
2023-02,-60.89983562163136,708,0.07203389830508475
