track,n_bets,win_rate,total_pnl,max_dd,profit_dd_ratio
Harlow,3731,0.08871616188689359,545.5358992065514,-116.52796156407828,4.681587937214222
Towcester,3942,0.08701166920345002,373.22827507405725,-111.19290835837919,3.356583442094415
Romford,5767,0.08028437662562858,231.92297073078237,-137.109584003244,1.6915153846961937
Yarmouth,2533,0.0813264903276747,138.68442450478912,-184.46722725752568,0.7518106417416822
Pelaw Grange,701,0.09700427960057062,131.1970216692809,-65.78679653683011,1.994275881723949
Central Park,3640,0.07912087912087912,106.11888132229879,-248.2665575662356,0.427439290908068
Mullingar,814,0.08353808353808354,93.08364727918845,-92.41282280688057,1.0072589977443902
Shelbourne Park,225,0.08888888888888889,70.999692496785,-40.318225355347536,1.7609825797396632
Hove,5003,0.07895262842294623,70.41308684525178,-259.77235892405747,0.27105688664064725
Henlow,1860,0.08279569892473118,63.28233201441748,-144.85022809926002,0.4368811347059298
Suffolk Downs,2044,0.0812133072407045,60.5936625344179,-162.45091642603956,0.37299674183127746
Monmore,5536,0.07911849710982659,57.17090725434329,-305.9897287154738,0.18683930174500715
Kinsley,2461,0.08289313287281593,44.29934273735583,-132.70445812352807,0.33381955183540063
Swindon,4298,0.07794322940902745,-48.658610409287924,-382.05771379933975,-0.12735931942168266
Doncaster,3741,0.07538091419406576,-115.94098902693568,-227.02016876675177,-0.5107078796424356
Oxford,742,0.0646900269541779,-120.89721292666543,-153.2328262636825,-0.7889772438095342
Perry Barr,3399,0.07237422771403354,-182.45319341020868,-281.33323482401613,-0.6485305354141312
Sheffield,3722,0.07684040838259,-198.93321004921287,-334.99999151531176,-0.5938304927990432
Crayford,4873,0.07592858608659964,-201.913327342372,-452.9761023008846,-0.4457482995609628
Newcastle,4617,0.07407407407407407,-337.4554245200272,-394.5492341376504,-0.8552935738364548
Nottingham,3561,0.07160909856781802,-353.38678499649814,-497.4960818753578,-0.7103307902735108
Sunderland,3716,0.07023681377825619,-467.2167631518615,-576.2069011171944,-0.8108489541620998
