band,bsp_lo,bsp_hi,total_pnl,max_dd,n_bets,win_rate,ratio
10-12,10.0,12.0,786.8233116583812,-200.09953045888392,14564,0.09832463608898655,3.932159709990205
12-15,12.0,15.0,-376.19810776759397,-836.4323077325598,13801,0.07426998043620027,-0.4497651564744188
15-20,15.0,20.0,17.814808403898823,-214.780426169495,10685,0.06036499766027141,0.08294428278040654
