month,total_pnl,n_bets,win_rate
2022-01,71.52822534091865,1827,0.08210180623973727
2022-02,48.645233284586666,1588,0.07997481108312343
2022-03,98.83339673443743,1879,0.0808940926024481
2022-04,138.69986257092683,1835,0.08719346049046321
2022-05,254.21912680843224,1757,0.08935685828116106
2022-06,173.88054791767868,1785,0.08515406162464986
2022-07,-183.2801643745058,1878,0.07028753993610223
2022-08,95.22316563823446,1661,0.07947019867549669
2022-09,-177.59323823503144,1573,0.06993006993006994
2022-10,3.4261470906685147,1814,0.07772877618522601
2022-11,11.931199825713444,1699,0.07945850500294291
2022-12,-4.023432318459822,1596,0.07706766917293233
2023-01,43.83084423822843,1622,0.08076448828606658
2023-02,21.979104509097397,1158,0.07944732297063903
