band,bsp_lo,bsp_hi,total_pnl,max_dd,n_bets,win_rate,ratio
10-12,10.0,12.0,326.9418590402428,-127.06206821252114,5447,0.09858637782265467,2.5730878116465665
12-15,12.0,15.0,-265.38842157159456,-442.7605208073699,5032,0.07213831478537361,-0.5993949530271152
15-20,15.0,20.0,513.9921051263136,-171.24849177308676,3892,0.06783144912641316,3.0014401867397473
