month,total_pnl,n_bets,win_rate
2022-01,46.71142527762313,3192,0.08082706766917293
2022-02,208.5266018929752,2736,0.08442982456140351
2022-03,156.4603198417358,3132,0.08237547892720307
2022-04,217.23398442320655,3017,0.08783559827643354
2022-05,301.5881448121477,3022,0.08603573792190602
2022-06,44.92144414387944,2963,0.07964900438744515
2022-07,-177.35215083230753,3011,0.07439388907339754
2022-08,-32.37734762281579,2736,0.0756578947368421
2022-09,-155.36802559384523,2592,0.07291666666666667
2022-10,-64.91818165078386,2982,0.07645875251509054
2022-11,-155.04038657155857,2745,0.073224043715847
2022-12,-13.102626633843762,2444,0.0765139116202946
2023-01,-89.82058259845772,2681,0.07646400596792241
2023-02,140.9773934067308,1797,0.08514190317195326
