band,bsp_lo,bsp_hi,total_pnl,max_dd,n_bets,win_rate,ratio
10-12,10.0,12.0,809.080184167698,-353.24277405848716,25797,0.09663914408652169,2.290436616358745
12-15,12.0,15.0,-636.5464981420868,-1053.957777310251,25099,0.07478385593051516,-0.6039582532106579
15-20,15.0,20.0,-212.8590581891613,-530.7525945733609,20030,0.059860209685471795,-0.4010513756607549
