file,total_pnl,n_bets,n_days,max_dd,max_dd_pct,ttr_median_days,ttr_p90_days,ttr_max_days,streak_day_max,streak_day_p90,worst_1d,worst_5d,worst_20d
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_10_00_20_00_daily.parquet,3723.3533044003275,964417,2781,-2990.5327650874647,-4.163210910448431,4.0,47.400000000000006,1483.0,8.0,4.0,-198.70756077563667,-556.8641269200002,-909.3893608372209
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_2_50_4_00_daily.parquet,1214.353960338061,641731,2781,-762.9802826600002,-6.012336679099797,3.0,46.500000000000064,1135.0,8.0,4.0,-70.13189959422718,-186.34080881999967,-271.1068352899995
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_1_01_1_50_daily.parquet,266.3418270989339,23523,2765,-39.40885498800925,-5.760643900721114,4.0,68.79999999999998,361.0,11.0,3.0,-7.133170958,-12.492130902124742,-19.375801505261762
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_1_50_2_50_daily.parquet,-1417.0542648553824,217806,2781,-1589.7339419822645,-23.40026978563469,8.0,630.5999999999993,2229.0,10.0,4.0,-28.454821250000002,-64.26412737532007,-117.03404798019096
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_6_00_10_00_daily.parquet,-3880.2684164414995,1010310,2780,-4762.134197854634,-56.573809909545375,2778.0,2778.0,2778.0,10.0,4.0,-149.97662323,-300.7279426536611,-548.1827651200006
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_4_00_6_00_daily.parquet,-8880.618399374918,847659,2781,-9226.74489776146,-387.45352449937536,1389.0,2499.4,2777.0,12.0,4.100000000000023,-118.81974025544365,-220.95606627999769,-445.08313865620585
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_20_00_50_00_daily.parquet,-14210.425785024467,619189,2781,-14726.861742860847,-30.044634384661308,96.0,2156.0,2671.0,12.0,4.0,-281.36419555095955,-740.0036333695316,-1335.21176199
reports/bfsp/uk/greyhound/win/bin_sweeps/bsp_50_00_1000_daily.parquet,-42790.07638410349,417378,2781,-43634.684378373146,-393.35679767235644,2.0,607.2000000000005,2628.0,13.0,5.0,-284.0,-837.0,-1851.6830007091485
