track,all_days,all_bets,all_pnl,all_max_dd,all_worst20,pre_days,pre_bets,pre_pnl,pre_max_dd,pre_worst20,post_days,post_bets,post_pnl,post_max_dd,post_worst20,survived_post,pre_positive,post_vs_pre
Crayfd,675.0,14064,1048.6142567703846,-244.12003285538208,-130.4537803332322,675.0,14064,1048.6142567703846,-244.12003285538208,-130.4537803332322,,0,,,,0,1,-1048.6142567703846
Romfd,781.0,14591,936.9504241994621,-341.4437273507557,-184.38878877974196,781.0,14591,936.9504241994621,-341.4437273507557,-184.38878877974196,,0,,,,0,1,-936.9504241994621
Cran (AUS),318.0,5719,877.5432475501088,-117.6600543496595,-86.03896060623913,318.0,5719,877.5432475501088,-117.6600543496595,-86.03896060623913,,0,,,,0,1,-877.5432475501088
Swin,542.0,7792,502.00715764231006,-222.57469143296424,-178.90035981365364,542.0,7792,502.00715764231006,-222.57469143296424,-178.90035981365364,,0,,,,0,1,-502.00715764231006
APrk (AUS),723.0,11570,496.88749544627825,-213.0055173137494,-155.1507004373716,723.0,11570,496.88749544627825,-213.0055173137494,-155.1507004373716,,0,,,,0,1,-496.88749544627825
Rich (AUS),460.0,7056,417.77893171909284,-213.52255497935346,-141.66461353128875,460.0,7056,417.77893171909284,-213.52255497935346,-141.66461353128875,,0,,,,0,1,-417.77893171909284
Hoba (AUS),174.0,2671,387.67516868654894,-136.22223561357274,-117.63824797216151,174.0,2671,387.67516868654894,-136.22223561357274,-117.63824797216151,,0,,,,0,1,-387.67516868654894
Ipsw (AUS),524.0,7867,357.1126834856959,-188.3993453123528,-111.87354261377672,524.0,7867,357.1126834856959,-188.3993453123528,-111.87354261377672,,0,,,,0,1,-357.1126834856959
Wgul (AUS),429.0,8205,325.446951360719,-160.45165981766198,-134.0121276517527,429.0,8205,325.446951360719,-160.45165981766198,-134.0121276517527,,0,,,,0,1,-325.446951360719
Rock (AUS),171.0,2519,316.35817498542735,-154.8514698813442,-82.77587795994873,171.0,2519,316.35817498542735,-154.8514698813442,-82.77587795994873,,0,,,,0,1,-316.35817498542735
Kinsl,481.0,6373,261.63453429429904,-227.51310757862078,-130.50101749222443,481.0,6373,261.63453429429904,-227.51310757862078,-130.50101749222443,,0,,,,0,1,-261.63453429429904
