start_idx,trough_idx,recovery_idx,peak_equity,dd_amount,dd_pct,duration_days
1,3,4.0,-11.259052922357238,-2.7723109970649418,0.24622950226656543,3
5,6,7.0,-4.095204362096528,-1.4093163780104163,0.3441382293529598,2
7,323,989.0,-1.4152756345395865,-261.80049593930033,184.98198481631357,982
990,991,992.0,10.050095731986413,-4.300838840000001,-0.42794008681049,2
994,995,996.0,41.57226948198641,-9.5447299,-0.22959366950451926,2
997,1001,1004.0,56.17026289198641,-7.3749575700000065,-0.1312964759339263,7
1004,1010,1021.0,64.9205537519864,-38.753329310000005,-0.596934669689478,17
1021,1022,1023.0,65.6670491819864,-1.5238014600000014,-0.023204963204255056,2
1023,1634,,71.5926895919864,-347.6977696200001,-4.856609963972062,834
