start_idx,trough_idx,recovery_idx,peak_equity,dd_amount,dd_pct,duration_days
2,3,8.0,41.625631282441525,-9.428951517480854,-0.22651792241906885,6
9,10,11.0,85.76855057165214,-10.799999999999997,-0.12592028112889164,2
11,14,15.0,98.31916269178284,-13.555154024584354,-0.13786889201933009,4
15,17,18.0,100.1337504633446,-31.649446860478818,-0.31607172121316435,3
19,20,21.0,112.65494666222241,-8.325996626197252,-0.0739070664261322,2
21,49,80.0,113.40204096737281,-167.1444758100889,-1.4739106490876865,59
81,84,86.0,132.48750306021176,-31.05636738583175,-0.2344097871005805,5
86,87,89.0,134.24088427177657,-6.820195514393859,-0.050805650986223194,3
89,1744,,136.91807453269254,-1047.955582267183,-7.653887814621275,1768
