start_idx,trough_idx,recovery_idx,peak_equity,dd_amount,dd_pct,duration_days
0,1,2.0,4.291137339800212,-1.2699173292990689,-0.2959395677040237,2
2,22,38.0,5.500573296603919,-30.18491775530493,-5.487594861055891,36
39,47,48.0,10.230577207026377,-7.930664142514337,-0.775192247908314,9
50,51,52.0,19.952293303403252,-0.7223439217569059,-0.036203553685415,2
53,56,59.0,26.425194437273976,-7.849409219681352,-0.29704262870472553,6
59,60,61.0,28.477753277112846,-1.785667410667692,-0.06270394273353042,2
61,65,68.0,32.40001234873763,-5.587940150875177,-0.17246722287415714,7
69,70,71.0,37.765032268895276,-3.073515894362288,-0.08138523151465048,2
71,86,90.0,42.70465520557904,-14.249553252901748,-0.33367681308524305,19
91,98,103.0,47.88281611804612,-8.41356930798323,-0.17571166422712378,12
106,107,108.0,62.2517905335881,-2.142133337768513,-0.03441079074846401,2
109,110,111.0,65.39262193832525,-1.2168197464016117,-0.01860790575960159,2
111,113,116.0,68.75287916642033,-7.248404385815505,-0.1054269213696538,5
116,1811,,75.74015206990771,-450.390655044228,-5.946524303628545,1741
