start_idx,trough_idx,recovery_idx,peak_equity,dd_amount,dd_pct,duration_days
0,1,2.0,3.1900943752333575,-8.0,-2.507762799153801,2
3,4,5.0,32.3526082028395,-12.0,-0.3709129083121896,2
6,7,8.0,75.07101738171465,-11.0,-0.14652791961068207,2
8,25,34.0,90.39268899271465,-55.27347409860766,-0.6114816885584907,26
35,36,37.0,123.06048953247519,-12.32129240885348,-0.10012386961618529,2
39,40,41.0,138.75260891652493,-3.5,-0.025224750924183616,2
41,43,48.0,139.98630667620063,-17.0,-0.12144044945283357,7
51,1840,,207.46542686660507,-1913.8505378291843,-9.224913117980574,1805
