basket,total_pnl,n_days,n_bets,max_dd,profit_dd_ratio
TOP10_BY_POST_PNL,7423.641152116605,2696,143484,-425.0570873403667,17.465044986232837
TOP10_BY_POST_RATIO,7423.641152116605,2696,143484,-425.0570873403667,17.465044986232837
TOP5_BY_POST_PNL,4960.931808600882,2525,91963,-400.6250659289087,12.382979075705672
TOP5_BY_POST_RATIO,4960.931808600882,2525,91963,-400.6250659289087,12.382979075705672
TOP3_BY_POST_RATIO,3755.932764159179,2345,57588,-341.4437273507557,11.00015160126463
TOP3_BY_POST_PNL,3755.932764159179,2345,57588,-341.4437273507557,11.00015160126463
TOP15_BY_POST_RATIO,5996.013446651439,2700,253080,-848.6471014454805,7.065379044409121
TOP15_BY_POST_PNL,5996.013446651439,2700,253080,-848.6471014454805,7.065379044409121
ALL_UK_10_20,4400.255410716241,2702,441749,-1157.341593601554,3.802036870569043
